iter	Passed	Remaining
0	162	162408
1	165	82535
2	168	55923
3	170	42547
4	173	34553
5	176	29264
6	179	25455
7	182	22588
8	184	20356
9	187	18564
10	190	17150
11	193	15939
12	196	14917
13	199	14036
14	201	13263
15	204	12586
16	207	11984
17	209	11452
18	212	10977
19	215	10542
20	217	10152
21	220	9797
22	222	9468
23	225	9166
24	228	8897
25	231	8666
26	234	8442
27	237	8234
28	239	8026
29	242	7834
30	245	7679
31	248	7527
32	251	7368
33	253	7210
34	256	7074
35	260	6964
36	262	6839
37	265	6717
38	268	6605
39	270	6494
40	273	6399
41	276	6302
42	278	6206
43	281	6107
44	283	6011
45	286	5936
46	288	5853
47	290	5770
48	293	5695
49	295	5616
50	297	5544
51	301	5490
52	303	5429
53	306	5362
54	308	5293
55	310	5232
56	312	5175
57	314	5115
58	317	5059
59	319	5005
60	321	4952
61	323	4900
62	326	4852
63	328	4805
64	330	4760
65	332	4711
66	335	4669
67	336	4612
68	338	4567
69	340	4529
70	343	4488
71	345	4447
72	347	4407
73	349	4372
74	351	4335
75	353	4301
76	355	4266
77	358	4232
78	360	4200
79	362	4168
80	364	4136
81	366	4107
82	368	4075
83	370	4041
84	371	4001
85	373	3970
86	374	3933
87	376	3903
88	378	3876
89	380	3852
90	383	3828
91	385	3806
92	387	3783
93	390	3762
94	392	3740
95	395	3719
96	397	3697
97	399	3676
98	401	3656
99	403	3635
100	406	3616
101	407	3589
102	409	3569
103	412	3550
104	414	3531
105	416	3511
106	418	3493
107	421	3479
108	423	3461
109	425	3443
110	427	3425
111	430	3409
112	432	3393
113	434	3377
114	436	3361
115	439	3345
116	441	3329
117	443	3313
118	445	3295
119	447	3283
120	449	3267
121	451	3252
122	453	3231
123	455	3216
124	457	3203
125	459	3188
126	462	3178
127	463	3159
128	466	3146
129	468	3136
130	470	3123
131	473	3111
132	475	3098
133	477	3084
134	479	3073
135	482	3062
136	484	3050
137	486	3036
138	488	3028
139	490	3015
140	493	3005
141	495	2993
142	497	2983
143	500	2976
144	503	2967
145	505	2957
146	508	2948
147	510	2938
148	513	2932
149	516	2925
150	519	2919
151	521	2910
152	524	2902
153	526	2892
154	529	2885
155	531	2875
156	534	2868
157	536	2859
158	539	2853
159	542	2847
160	545	2840
161	547	2831
162	549	2821
163	551	2812
164	554	2804
165	556	2796
166	558	2787
167	560	2776
168	562	2767
169	564	2758
170	567	2749
171	569	2740
172	571	2732
173	573	2724
174	576	2715
175	578	2708
176	580	2700
177	583	2692
178	585	2685
179	588	2678
180	589	2665
181	591	2659
182	594	2652
183	596	2644
184	598	2637
185	600	2629
186	603	2622
187	605	2615
188	607	2608
189	610	2601
190	612	2595
191	615	2588
192	617	2582
193	620	2575
194	622	2570
195	625	2563
196	627	2557
197	629	2549
198	631	2543
199	634	2537
200	636	2530
201	639	2524
202	641	2517
203	643	2511
204	645	2505
205	648	2499
206	651	2494
207	653	2489
208	656	2484
209	658	2477
210	660	2469
211	662	2462
212	664	2455
213	666	2448
214	668	2441
215	670	2433
216	672	2427
217	674	2420
218	677	2416
219	679	2410
220	681	2402
221	683	2395
222	685	2388
223	687	2382
224	689	2376
225	692	2371
226	694	2365
227	696	2358
228	698	2352
229	700	2346
230	703	2341
231	705	2335
232	707	2330
233	710	2324
