iter	Passed	Remaining
0	28	28131
1	31	15747
2	34	11599
3	37	9248
4	39	7851
5	41	6928
6	44	6373
7	47	5900
8	50	5538
9	52	5211
10	54	4944
11	57	4732
12	60	4556
13	62	4390
14	65	4284
15	67	4146
16	70	4053
17	72	3971
18	75	3888
19	77	3820
20	80	3755
21	83	3691
22	85	3631
23	87	3578
24	90	3526
25	92	3475
26	95	3437
27	97	3400
28	100	3361
29	102	3323
30	105	3291
31	107	3256
32	110	3228
33	112	3197
34	115	3172
35	117	3146
36	120	3123
37	122	3101
38	124	3079
39	127	3057
40	129	3038
41	132	3015
42	134	2996
43	137	2978
44	139	2963
45	142	2946
46	144	2934
47	146	2915
48	149	2898
49	151	2887
50	155	2884
51	157	2870
52	160	2860
53	162	2844
54	164	2830
55	166	2813
56	169	2802
57	172	2795
58	174	2783
59	176	2769
60	179	2756
61	181	2746
62	184	2740
63	186	2732
64	189	2720
65	191	2712
66	193	2700
67	196	2695
68	199	2689
69	201	2676
70	204	2669
71	206	2662
72	209	2654
73	211	2646
74	213	2639
75	216	2633
76	218	2624
77	221	2616
78	223	2606
79	226	2608
80	229	2606
81	232	2597
82	234	2587
83	236	2575
84	238	2568
85	241	2561
86	243	2556
87	245	2545
88	247	2532
89	249	2525
90	251	2515
91	253	2505
92	256	2497
93	258	2491
94	260	2483
95	262	2474
96	264	2459
97	265	2445
98	267	2437
99	270	2430
100	272	2426
101	274	2419
102	276	2411
103	279	2404
104	280	2391
105	282	2384
106	284	2378
107	287	2373
108	289	2368
109	291	2361
110	293	2353
111	296	2347
112	298	2340
113	300	2337
114	302	2331
115	305	2325
116	307	2318
117	309	2311
118	311	2305
119	314	2302
120	316	2300
121	319	2295
122	321	2290
123	323	2287
124	325	2281
125	328	2276
126	330	2272
127	332	2268
128	335	2264
129	337	2260
130	339	2253
131	341	2247
132	344	2243
133	346	2239
134	348	2234
135	350	2228
136	352	2223
137	355	2217
138	357	2213
139	359	2209
140	362	2207
141	364	2204
142	366	2198
143	369	2194
144	371	2189
145	372	2180
146	374	2175
147	377	2172
148	379	2167
149	381	2161
150	383	2156
151	385	2150
152	387	2147
153	390	2144
154	392	2139
155	394	2134
156	396	2130
157	398	2125
158	400	2120
159	403	2116
160	406	2115
161	408	2111
162	410	2107
163	412	2102
164	414	2098
165	418	2100
166	421	2103
167	424	2100
168	426	2096
169	428	2091
170	430	2087
171	433	2086
172	434	2077
173	436	2073
174	439	2070
175	441	2065
176	443	2061
177	445	2058
178	448	2055
179	450	2053
180	452	2049
181	454	2044
182	456	2039
183	459	2035
184	461	2032
185	463	2029
186	466	2026
187	468	2023
188	470	2018
189	472	2014
190	474	2010
191	476	2006
192	479	2003
193	481	1999
194	483	1995
195	484	1988
196	486	1984
197	489	1981
198	491	1978
199	493	1974
200	496	1973
201	498	1969
202	500	1964
203	502	1961
204	504	1957
205	507	1954
206	509	1952
207	512	1949
208	514	1946
209	516	1942
210	518	1938
211	520	1935
212	523	1933
213	525	1929
214	527	1926
215	529	1923
216	531	1919
217	533	1915
218	535	1910
219	537	1907
220	540	1905
221	542	1902
222	544	1898
223	547	1895
224	549	1892
225	551	1889
226	554	1887
227	556	1883
228	558	1879
229	560	1876
230	562	1872
231	564	1869
232	567	1867
233	569	1864
234	571	1860
235	573	1856
236	575	1852
237	577	1850
238	580	1848
239	583	1846
240	585	1845
241	588	1842
242	590	1839
243	592	1836
244	594	1833
245	597	1830
246	599	1828
247	602	1825
248	604	1823
249	606	1819
250	608	1815
251	611	1815
252	614	1813
253	616	1810
254	618	1807
255	620	1802
256	622	1800
257	626	1802
258	629	1800
259	632	1799
260	634	1796
261	636	1793
262	638	1790
263	642	1791
264	645	1790
265	647	1787
266	650	1784
267	652	1781
268	654	1778
269	656	1776
270	659	1773
271	661	1769
272	663	1766
273	665	1763
274	667	1759
275	669	1757
276	673	1757
277	675	1753
278	677	1750
279	679	1747
280	681	1743
281	683	1740
282	686	1738
283	688	1735
284	690	1732
285	692	1729
286	694	1725
287	696	1722
288	699	1721
289	701	1718
290	704	1716
291	706	1713
